ID,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Date,Participants,Completed questionnaires,Created diary studies,Psychologie magazine,Volkskrant magazine,Nieuwsbrief,Lezingen
1,1,0,0,0,0,0,0,1-12-2013,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,2-12-2013,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,3-12-2013,0,0,0,0,0,0,0
4,0,0,0,1,0,0,0,4-12-2013,0,0,0,0,0,0,0
5,0,0,0,0,1,0,0,5-12-2013,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,6-12-2013,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,7-12-2013,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,8-12-2013,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,9-12-2013,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,10-12-2013,6,16,0,0,0,0,0
11,0,0,0,1,0,0,0,11-12-2013,14,37,0,0,0,0,0
12,0,0,0,0,1,0,0,12-12-2013,4,8,0,0,0,0,0
13,0,0,0,0,0,1,0,13-12-2013,1,4,0,0,0,0,0
14,0,0,0,0,0,0,1,14-12-2013,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,15-12-2013,1,3,0,0,0,0,0
16,0,1,0,0,0,0,0,16-12-2013,2,12,0,0,0,0,0
17,0,0,1,0,0,0,0,17-12-2013,3,16,0,0,0,0,0
18,0,0,0,1,0,0,0,18-12-2013,9,30,0,0,0,0,0
19,0,0,0,0,1,0,0,19-12-2013,35,116,0,1,0,0,0
20,0,0,0,0,0,1,0,20-12-2013,737,2502,0,1,0,0,0
21,0,0,0,0,0,0,1,21-12-2013,232,958,0,1,0,0,0
22,1,0,0,0,0,0,0,22-12-2013,129,511,0,1,0,0,0
23,0,1,0,0,0,0,0,23-12-2013,157,528,0,1,0,0,0
24,0,0,1,0,0,0,0,24-12-2013,80,308,0,0,0,0,0
25,0,0,0,1,0,0,0,25-12-2013,44,170,0,0,0,0,0
26,0,0,0,0,1,0,0,26-12-2013,44,163,0,0,0,0,0
27,0,0,0,0,0,1,0,27-12-2013,79,297,0,0,0,0,0
28,0,0,0,0,0,0,1,28-12-2013,35,142,0,0,0,0,0
29,1,0,0,0,0,0,0,29-12-2013,59,225,0,0,0,0,0
30,0,1,0,0,0,0,0,30-12-2013,51,193,0,0,0,0,0
31,0,0,1,0,0,0,0,31-12-2013,21,70,0,0,0,0,0
32,0,0,0,1,0,0,0,1-1-2014,31,112,0,0,0,0,0
33,0,0,0,0,1,0,0,2-1-2014,32,105,0,0,0,0,0
34,0,0,0,0,0,1,0,3-1-2014,27,106,0,0,0,0,0
35,0,0,0,0,0,0,1,4-1-2014,26,106,0,0,0,0,0
36,1,0,0,0,0,0,0,5-1-2014,30,115,0,0,0,0,0
37,0,1,0,0,0,0,0,6-1-2014,30,123,0,0,0,0,0
38,0,0,1,0,0,0,0,7-1-2014,50,178,0,0,0,0,0
39,0,0,0,1,0,0,0,8-1-2014,37,140,0,0,0,0,0
40,0,0,0,0,1,0,0,9-1-2014,22,80,0,0,0,0,0
41,0,0,0,0,0,1,0,10-1-2014,20,57,0,0,0,0,0
42,0,0,0,0,0,0,1,11-1-2014,27,99,0,0,0,0,0
43,1,0,0,0,0,0,0,12-1-2014,22,89,0,0,0,0,0
44,0,1,0,0,0,0,0,13-1-2014,22,89,0,0,0,0,0
45,0,0,1,0,0,0,0,14-1-2014,41,133,0,0,0,0,0
46,0,0,0,1,0,0,0,15-1-2014,19,86,0,0,0,0,0
47,0,0,0,0,1,0,0,16-1-2014,11,47,0,0,0,0,0
48,0,0,0,0,0,1,0,17-1-2014,11,25,0,0,0,0,0
49,0,0,0,0,0,0,1,18-1-2014,16,60,0,0,0,0,0
50,1,0,0,0,0,0,0,19-1-2014,21,75,0,0,0,0,0
51,0,1,0,0,0,0,0,20-1-2014,9,40,0,0,0,0,0
52,0,0,1,0,0,0,0,21-1-2014,16,52,0,0,0,0,0
53,0,0,0,1,0,0,0,22-1-2014,15,50,0,0,0,0,0
54,0,0,0,0,1,0,0,23-1-2014,14,67,0,0,0,0,0
55,0,0,0,0,0,1,0,24-1-2014,11,38,0,0,0,0,0
56,0,0,0,0,0,0,1,25-1-2014,8,39,0,0,0,0,0
57,1,0,0,0,0,0,0,26-1-2014,13,48,0,0,0,0,0
58,0,1,0,0,0,0,0,27-1-2014,6,42,0,0,0,0,0
59,0,0,1,0,0,0,0,28-1-2014,7,25,0,0,0,0,0
60,0,0,0,1,0,0,0,29-1-2014,7,28,0,0,0,0,0
61,0,0,0,0,1,0,0,30-1-2014,6,33,0,0,0,0,0
62,0,0,0,0,0,1,0,31-1-2014,7,29,0,0,0,0,0
63,0,0,0,0,0,0,1,1-2-2014,5,19,0,0,0,0,0
64,1,0,0,0,0,0,0,2-2-2014,13,53,0,0,0,0,0
65,0,1,0,0,0,0,0,3-2-2014,4,16,0,0,0,0,0
66,0,0,1,0,0,0,0,4-2-2014,6,15,0,0,0,0,0
67,0,0,0,1,0,0,0,5-2-2014,10,30,0,0,0,0,0
68,0,0,0,0,1,0,0,6-2-2014,4,28,0,0,0,0,0
69,0,0,0,0,0,1,0,7-2-2014,13,47,0,0,0,0,0
70,0,0,0,0,0,0,1,8-2-2014,3,19,0,0,0,0,0
71,1,0,0,0,0,0,0,9-2-2014,12,36,0,0,0,0,0
72,0,1,0,0,0,0,0,10-2-2014,4,20,0,0,0,0,0
73,0,0,1,0,0,0,0,11-2-2014,8,18,0,0,0,0,0
74,0,0,0,1,0,0,0,12-2-2014,9,33,0,0,0,0,0
75,0,0,0,0,1,0,0,13-2-2014,3,15,0,0,0,0,0
76,0,0,0,0,0,1,0,14-2-2014,3,13,0,0,0,0,0
77,0,0,0,0,0,0,1,15-2-2014,5,13,0,0,0,0,0
78,1,0,0,0,0,0,0,16-2-2014,5,21,0,0,0,0,0
79,0,1,0,0,0,0,0,17-2-2014,2,16,0,0,0,0,0
80,0,0,1,0,0,0,0,18-2-2014,4,14,0,0,0,0,0
81,0,0,0,1,0,0,0,19-2-2014,4,9,0,0,0,0,0
82,0,0,0,0,1,0,0,20-2-2014,5,15,0,0,0,0,0
83,0,0,0,0,0,1,0,21-2-2014,4,20,0,0,0,0,0
84,0,0,0,0,0,0,1,22-2-2014,5,22,0,0,0,0,0
85,1,0,0,0,0,0,0,23-2-2014,5,20,0,0,0,0,0
86,0,1,0,0,0,0,0,24-2-2014,3,13,0,0,0,0,0
87,0,0,1,0,0,0,0,25-2-2014,2,15,0,0,0,0,0
88,0,0,0,1,0,0,0,26-2-2014,1,7,0,0,0,0,0
89,0,0,0,0,1,0,0,27-2-2014,4,9,0,0,0,0,0
90,0,0,0,0,0,1,0,28-2-2014,6,31,0,0,0,0,0
91,0,0,0,0,0,0,1,1-3-2014,1,8,0,0,0,0,0
92,1,0,0,0,0,0,0,2-3-2014,5,16,0,0,0,0,0
93,0,1,0,0,0,0,0,3-3-2014,3,9,0,0,0,0,0
94,0,0,1,0,0,0,0,4-3-2014,13,56,0,0,0,0,0
95,0,0,0,1,0,0,0,5-3-2014,14,41,0,0,0,0,0
96,0,0,0,0,1,0,0,6-3-2014,12,62,0,0,0,0,0
97,0,0,0,0,0,1,0,7-3-2014,10,38,0,0,0,0,0
98,0,0,0,0,0,0,1,8-3-2014,2,4,0,0,0,0,0
99,1,0,0,0,0,0,0,9-3-2014,6,29,0,0,0,0,0
100,0,1,0,0,0,0,0,10-3-2014,1,5,0,0,0,0,0
101,0,0,1,0,0,0,0,11-3-2014,1,6,0,0,0,0,0
102,0,0,0,1,0,0,0,12-3-2014,3,5,0,0,0,0,0
103,0,0,0,0,1,0,0,13-3-2014,5,16,0,0,0,0,0
104,0,0,0,0,0,1,0,14-3-2014,4,21,0,0,0,0,0
105,0,0,0,0,0,0,1,15-3-2014,1,7,0,0,0,0,0
106,1,0,0,0,0,0,0,16-3-2014,6,18,0,0,0,0,0
107,0,1,0,0,0,0,0,17-3-2014,1,12,0,0,0,0,0
108,0,0,1,0,0,0,0,18-3-2014,5,18,0,0,0,0,0
109,0,0,0,1,0,0,0,19-3-2014,7,28,0,0,0,0,0
110,0,0,0,0,1,0,0,20-3-2014,1,6,0,0,0,0,0
111,0,0,0,0,0,1,0,21-3-2014,2,12,0,0,0,0,0
112,0,0,0,0,0,0,1,22-3-2014,4,10,0,0,0,0,0
113,1,0,0,0,0,0,0,23-3-2014,4,12,0,0,0,0,0
114,0,1,0,0,0,0,0,24-3-2014,7,408,0,0,0,0,0
115,0,0,1,0,0,0,0,25-3-2014,17,399,0,0,0,0,0
116,0,0,0,1,0,0,0,26-3-2014,9,173,0,0,0,0,0
117,0,0,0,0,1,0,0,27-3-2014,8,69,0,0,0,0,0
118,0,0,0,0,0,1,0,28-3-2014,1,12,0,0,0,0,0
119,0,0,0,0,0,0,1,29-3-2014,2,34,0,0,0,0,0
120,1,0,0,0,0,0,0,30-3-2014,1,19,0,0,0,0,0
121,0,1,0,0,0,0,0,31-3-2014,3,21,0,0,0,0,0
122,0,0,1,0,0,0,0,1-4-2014,1,18,0,0,0,0,0
123,0,0,0,1,0,0,0,2-4-2014,4,26,0,0,0,0,0
124,0,0,0,0,1,0,0,3-4-2014,3,14,0,0,0,0,0
125,0,0,0,0,0,1,0,4-4-2014,4,27,0,0,0,0,0
126,0,0,0,0,0,0,1,5-4-2014,3,7,0,0,0,0,0
127,1,0,0,0,0,0,0,6-4-2014,2,8,0,0,0,0,0
128,0,1,0,0,0,0,0,7-4-2014,6,36,0,0,0,0,0
129,0,0,1,0,0,0,0,8-4-2014,1,7,0,0,0,0,0
130,0,0,0,1,0,0,0,9-4-2014,3,12,0,0,0,0,0
131,0,0,0,0,1,0,0,10-4-2014,4,25,0,0,0,0,0
132,0,0,0,0,0,1,0,11-4-2014,8,38,0,0,0,0,0
133,0,0,0,0,0,0,1,12-4-2014,6,22,0,0,0,0,0
134,1,0,0,0,0,0,0,13-4-2014,8,46,0,0,0,0,0
135,0,1,0,0,0,0,0,14-4-2014,10,53,0,0,0,0,0
136,0,0,1,0,0,0,0,15-4-2014,4,27,0,0,0,0,0
137,0,0,0,1,0,0,0,16-4-2014,6,12,0,0,0,0,0
138,0,0,0,0,1,0,0,17-4-2014,2,10,0,0,0,0,0
139,0,0,0,0,0,1,0,18-4-2014,6,22,0,0,0,0,0
140,0,0,0,0,0,0,1,19-4-2014,1952,8482,0,0,1,0,0
141,1,0,0,0,0,0,0,20-4-2014,1424,6739,0,0,0,0,0
142,0,1,0,0,0,0,0,21-4-2014,1653,8371,0,0,0,0,0
143,0,0,1,0,0,0,0,22-4-2014,491,2458,0,0,0,0,0
144,0,0,0,1,0,0,0,23-4-2014,1143,4337,0,0,0,0,0
145,0,0,0,0,1,0,0,24-4-2014,312,1460,0,0,0,0,0
146,0,0,0,0,0,1,0,25-4-2014,156,765,0,0,0,0,0
147,0,0,0,0,0,0,1,26-4-2014,114,612,0,0,0,0,0
148,1,0,0,0,0,0,0,27-4-2014,190,1001,0,0,0,0,0
149,0,1,0,0,0,0,0,28-4-2014,111,639,0,0,0,0,0
150,0,0,1,0,0,0,0,29-4-2014,102,527,0,0,0,0,0
151,0,0,0,1,0,0,0,30-4-2014,57,322,0,0,0,0,0
152,0,0,0,0,1,0,0,1-5-2014,67,389,0,0,0,0,0
153,0,0,0,0,0,1,0,2-5-2014,43,209,0,0,0,0,0
154,0,0,0,0,0,0,1,3-5-2014,38,249,0,0,0,0,0
155,1,0,0,0,0,0,0,4-5-2014,51,243,0,0,0,0,0
156,0,1,0,0,0,0,0,5-5-2014,54,284,0,0,0,0,0
157,0,0,1,0,0,0,0,6-5-2014,35,230,0,0,0,0,0
158,0,0,0,1,0,0,0,7-5-2014,22,153,0,0,0,0,0
159,0,0,0,0,1,0,0,8-5-2014,37,157,0,0,0,0,0
160,0,0,0,0,0,1,0,9-5-2014,30,181,0,0,0,0,0
161,0,0,0,0,0,0,1,10-5-2014,28,145,0,0,0,0,0
162,1,0,0,0,0,0,0,11-5-2014,44,253,0,0,0,0,0
163,0,1,0,0,0,0,0,12-5-2014,30,141,0,0,0,0,0
164,0,0,1,0,0,0,0,13-5-2014,21,82,0,0,0,0,0
165,0,0,0,1,0,0,0,14-5-2014,19,103,0,0,0,0,0
166,0,0,0,0,1,0,0,15-5-2014,29,112,0,0,0,0,0
167,0,0,0,0,0,1,0,16-5-2014,20,114,0,0,0,0,0
168,0,0,0,0,0,0,1,17-5-2014,20,61,0,0,0,0,0
169,1,0,0,0,0,0,0,18-5-2014,33,144,0,0,0,0,0
170,0,1,0,0,0,0,0,19-5-2014,25,102,0,0,0,0,0
171,0,0,1,0,0,0,0,20-5-2014,28,121,0,0,0,0,0
172,0,0,0,1,0,0,0,21-5-2014,20,83,0,0,0,0,0
173,0,0,0,0,1,0,0,22-5-2014,27,121,9,0,0,0,0
174,0,0,0,0,0,1,0,23-5-2014,30,133,11,0,0,0,0
175,0,0,0,0,0,0,1,24-5-2014,62,242,11,0,0,0,0
176,1,0,0,0,0,0,0,25-5-2014,48,233,14,0,0,0,0
177,0,1,0,0,0,0,0,26-5-2014,25,126,8,0,0,0,0
178,0,0,1,0,0,0,0,27-5-2014,20,81,3,0,0,0,0
179,0,0,0,1,0,0,0,28-5-2014,28,99,7,0,0,0,0
180,0,0,0,0,1,0,0,29-5-2014,35,174,6,0,0,0,0
181,0,0,0,0,0,1,0,30-5-2014,18,104,2,0,0,0,0
182,0,0,0,0,0,0,1,31-5-2014,11,42,3,0,0,0,0
183,1,0,0,0,0,0,0,1-6-2014,19,83,8,0,0,0,0
184,0,1,0,0,0,0,0,2-6-2014,20,80,3,0,0,0,0
185,0,0,1,0,0,0,0,3-6-2014,20,87,5,0,0,0,0
186,0,0,0,1,0,0,0,4-6-2014,8,44,4,0,0,0,0
187,0,0,0,0,1,0,0,5-6-2014,13,67,3,0,0,0,0
188,0,0,0,0,0,1,0,6-6-2014,12,38,4,0,0,0,0
189,0,0,0,0,0,0,1,7-6-2014,19,47,5,0,0,0,0
190,1,0,0,0,0,0,0,8-6-2014,15,62,6,0,0,0,0
191,0,1,0,0,0,0,0,9-6-2014,27,83,6,0,0,0,0
192,0,0,1,0,0,0,0,10-6-2014,15,85,3,0,0,0,0
193,0,0,0,1,0,0,0,11-6-2014,9,51,3,0,0,0,0
194,0,0,0,0,1,0,0,12-6-2014,6,21,5,0,0,0,0
195,0,0,0,0,0,1,0,13-6-2014,12,42,3,0,0,0,0
196,0,0,0,0,0,0,1,14-6-2014,7,32,1,0,0,0,0
197,1,0,0,0,0,0,0,15-6-2014,13,66,3,0,0,0,0
198,0,1,0,0,0,0,0,16-6-2014,9,31,0,0,0,0,0
199,0,0,1,0,0,0,0,17-6-2014,10,53,3,0,0,0,0
200,0,0,0,1,0,0,0,18-6-2014,10,52,1,0,0,0,0
201,0,0,0,0,1,0,0,19-6-2014,5,35,0,0,0,0,0
202,0,0,0,0,0,1,0,20-6-2014,13,52,5,0,0,0,0
203,0,0,0,0,0,0,1,21-6-2014,5,17,1,0,0,0,0
